area,crm_cd,vict_age,vict_sex,vict_descent,premis_cd,month,day,temp,humidity,precip,windspeed,winddir,sealevelpressure,cloudcover,visibility,uvindex,moonphase,conditions,sunset_time_difference,sunrise_time_difference,hour_crime_occ
6,624,85,F,W,502,3,11,18.5,68.5,0.0,14.8,216.8,1015.7,47.0,16.0,8,0.57,Partially cloudy,6,6,13
16,624,35,F,H,102,7,7,19.7,68.0,0.0,17.5,239.5,1010.9,41.6,15.3,7,0.65,Partially cloudy,10,4,10
17,624,25,M,B,502,12,25,18.8,37.4,0.0,7.1,331.3,1021.2,2.4,16.0,3,0.08,Clear,15,5,2
18,624,29,F,H,101,8,30,20.7,75.6,0.0,18.4,252.5,1007.9,26.1,12.9,9,0.75,Partially cloudy,0,13,19
13,624,30,F,H,501,6,28,19.0,70.1,0.0,18.4,219.0,1012.1,46.6,15.9,7,0.35,Partially cloudy,5,10,16
14,624,30,F,W,102,9,26,23.8,64.9,0.0,22.7,236.0,1011.8,2.0,15.8,8,0.03,Clear,0,12,18
19,624,55,M,H,502,1,14,12.4,85.1,30.667,19.4,107.2,1013.8,73.3,10.4,0,0.75,"Rain, Partially cloudy",1,11,18
12,624,29,M,H,501,2,3,12.3,36.9,0.0,17.3,273.3,1022.3,1.7,16.0,6,0.08,Clear,4,6,13
2,624,50,M,H,101,7,6,21.3,68.1,0.0,13.5,256.2,1012.8,37.8,15.2,10,0.89,Partially cloudy,3,18,23
15,624,24,M,H,101,1,12,15.7,54.9,0.0,9.9,26.8,1021.8,4.1,16.0,4,0.7,Clear,4,14,21
12,624,37,M,B,501,6,3,19.4,68.9,0.0,14.0,229.5,1011.8,58.0,14.4,10,0.78,Partially cloudy,13,2,7
8,624,55,M,B,203,11,16,16.1,32.5,0.0,11.4,282.6,1022.9,0.3,16.0,6,0.75,Clear,0,10,16
3,624,42,M,H,501,9,5,28.5,50.2,0.0,10.2,274.8,1010.6,1.0,12.6,9,0.62,Clear,18,5,1
21,624,38,M,O,502,7,19,24.4,61.0,0.0,13.6,239.7,1014.6,1.9,15.8,8,0.07,Clear,7,7,13
6,624,24,M,W,501,11,9,13.4,69.6,6.79,21.8,274.1,1017.6,26.7,15.9,6,0.54,"Rain, Partially cloudy",14,4,3
3,624,30,F,B,501,6,26,19.9,71.8,0.0,13.8,262.4,1011.8,51.3,15.3,10,0.2,Partially cloudy,7,8,14
10,624,32,M,W,108,12,26,10.7,72.3,0.672,19.3,282.0,1017.5,18.9,15.3,6,0.75,Rain,16,6,1
14,624,41,F,B,502,9,3,20.0,73.9,0.0,13.4,263.1,1012.3,43.4,12.3,10,0.9,Partially cloudy,2,15,21
1,624,50,M,B,502,5,14,17.6,67.7,0.0,23.1,261.6,1014.7,60.4,15.8,10,0.1,Partially cloudy,19,5,1
13,624,28,M,H,102,9,16,20.3,78.5,0.0,9.2,250.8,1014.7,98.9,14.4,2,0.06,Overcast,2,14,20
2,624,58,F,W,101,11,28,15.2,75.6,0.0,11.8,176.8,1013.5,84.9,13.6,5,0.17,Partially cloudy,13,3,4
6,624,47,M,H,101,5,3,20.2,62.1,0.0,15.0,255.9,1016.0,6.9,15.5,10,0.37,Clear,1,15,21
2,624,63,F,W,102,3,22,15.8,66.1,33.073,9.6,68.6,1018.9,42.5,12.8,8,0.95,"Rain, Partially cloudy",9,3,10
19,624,42,M,H,102,4,6,16.6,33.3,0.0,15.4,258.3,1017.5,3.0,15.9,6,0.52,Clear,4,17,0
14,624,41,M,O,101,2,27,15.9,46.4,0.0,15.5,341.6,1012.8,3.5,15.8,8,0.5,Clear,6,17,23
1,624,23,F,B,203,10,5,21.3,80.5,0.0,10.8,239.9,1014.3,38.4,12.3,7,0.35,Partially cloudy,19,7,0
14,624,78,M,W,501,11,25,14.1,76.2,0.0,11.8,253.3,1018.2,32.7,11.7,6,0.35,Partially cloudy,1,11,18
6,624,25,F,W,203,3,18,17.7,51.9,0.0,10.7,252.9,1016.1,2.0,15.9,8,0.5,Clear,18,5,2
18,624,33,M,B,501,9,28,18.9,74.3,0.0,12.0,258.5,1013.0,79.6,16.0,5,0.75,Partially cloudy,10,2,9
16,624,34,F,B,501,6,30,21.7,70.5,0.0,20.0,248.9,1011.8,41.5,15.7,10,0.7,Partially cloudy,3,11,17
